conversationId,timestamp,sessionId,channel,customerIdAnon,customerSegment,initialIntent,originQueue,outcome,durationSeconds,totalTurns
conv-20260622-000001,2026-06-22T21:02:40.309Z,sess-ce133c04f8babfbc,phone,1a9f6dde02122a04,Premium,sinistro,seguros,resolved_by_ai,86,8
conv-20260607-000002,2026-06-08T03:23:26.309Z,sess-25972c4af23b5601,phone,222427aa50e52113,VIP,emprestimo_simulacao,credito,resolved_by_ai,53,3
conv-20260628-000003,2026-06-29T04:24:28.309Z,sess-54c1c08eb01a2fb2,chat,bd6f9f1d7ab50307,Premium,resgate,investimentos,resolved_by_ai,104,10
conv-20260614-000004,2026-06-15T02:56:32.309Z,sess-5f3e235f6d92db02,chat,dfe8c8bb5e3558b1,Premium,saque_exterior,investimentos,transferred_to_agent,113,10
conv-20260614-000005,2026-06-14T23:35:25.309Z,sess-85f79795e4e0281a,phone,41d47227378cfd45,Basic,cartao_bloqueio,atendimento_principal,transferred_to_agent,30,2
conv-20260615-000006,2026-06-16T03:13:18.309Z,sess-03994a4d8f02d193,phone,2808ce9f7c5f11a2,VIP,cambio,investimentos,resolved_by_ai,79,6
conv-20260617-000007,2026-06-17T21:11:14.309Z,sess-23f7fa7f9a7192b4,phone,67525acd15c9a28a,Standard,cartao_desbloqueio,atendimento_principal,resolved_by_ai,51,4
conv-20260606-000008,2026-06-06T23:07:22.309Z,sess-002098efac84a324,phone,5e44f517d33466b6,VIP,emprestimo_simulacao,seguros,resolved_by_ai,90,8
conv-20260607-000009,2026-06-07T22:50:31.309Z,sess-8f46c04d3c9dc500,phone,33fd9aa40cfb7c3c,VIP,fatura,seguros,resolved_by_ai,101,10
conv-20260604-000010,2026-06-04T19:28:07.309Z,sess-a9f5279e87a29089,chat,ae4e8483070c2adf,Standard,emprestimo_contratacao,investimentos,system_timeout,61,4
conv-20260617-000011,2026-06-17T18:22:58.309Z,sess-a075af3d42c0d587,phone,2553de02ce393cb1,Basic,previdencia,credito,customer_hangup,89,7
conv-20260624-000012,2026-06-24T18:02:25.309Z,sess-ff1a5bf83040efa0,phone,b61873f6f5846bb7,VIP,transferencia_pix,investimentos,transferred_to_agent,106,9
conv-20260621-000013,2026-06-22T04:34:55.309Z,sess-a81a295eb517ca79,phone,326b52951575399f,Basic,aplicacao,investimentos,resolved_by_ai,53,2
conv-20260629-000014,2026-06-30T06:18:53.309Z,sess-8238a4f4299970e7,chat,e1852952824eb1c2,VIP,investimentos,seguros,resolved_by_ai,112,9
conv-20260603-000015,2026-06-04T01:48:18.309Z,sess-9789c4db27564178,phone,4eec44949f1e4551,Basic,extrato,atendimento_principal,resolved_by_ai,127,9
conv-20260621-000016,2026-06-22T06:32:56.309Z,sess-4afab8dcbae4c75e,whatsapp,a4df12f06d133943,Premium,seguros,investimentos,customer_hangup,101,9
conv-20260612-000017,2026-06-13T04:13:43.309Z,sess-879e61fe72781244,phone,4d24fdd420d1cbac,Standard,transferencia_ted,credito,system_timeout,91,7
conv-20260618-000018,2026-06-18T21:15:42.309Z,sess-dcf17495eb9ebc57,phone,a4d696fb06e6893c,Basic,seguros,seguros,transferred_to_agent,44,5
conv-20260628-000019,2026-06-28T23:52:54.309Z,sess-7acd328e3068edb4,phone,444eedfe79477e47,VIP,transferencia_ted,investimentos,resolved_by_ai,93,8
conv-20260616-000020,2026-06-16T18:14:52.309Z,sess-3affd009019a103e,phone,6fab977ee4be039f,Premium,cotacao_seguro,atendimento_principal,resolved_by_ai,109,10
conv-20260624-000021,2026-06-24T21:44:01.309Z,sess-0ad231d9f1f53cb3,whatsapp,9c5d8e2f8e99457f,Standard,aplicacao,investimentos,resolved_by_ai,51,2
conv-20260607-000022,2026-06-08T02:51:11.309Z,sess-e07def7d9ef55fbb,phone,982529c9ca9c6c60,Standard,limite,investimentos,system_timeout,51,5
conv-20260609-000023,2026-06-10T03:20:08.309Z,sess-405050806d43bd47,phone,016fc86f7093ebea,Standard,emprestimo_simulacao,seguros,transferred_to_agent,75,7
conv-20260629-000024,2026-06-30T03:08:39.309Z,sess-15077959fd999a96,phone,25bdca7a3d275ba5,Premium,saque_exterior,seguros,resolved_by_ai,62,4
conv-20260613-000025,2026-06-13T23:43:44.309Z,sess-261eccf205aef258,phone,22afb85ac92f7b53,Basic,emprestimo_simulacao,credito,resolved_by_ai,38,2
conv-20260626-000026,2026-06-27T04:30:07.309Z,sess-22ceaea7bfecc7ea,phone,33efa426d867da82,Basic,investimentos,atendimento_principal,resolved_by_ai,48,4
conv-20260625-000027,2026-06-25T18:36:00.309Z,sess-5d08dbf316b29fe9,phone,a123d49e03e87b06,Premium,sinistro,seguros,customer_hangup,40,4
conv-20260623-000028,2026-06-23T18:41:06.309Z,sess-2dde7defa6e62f21,whatsapp,74e6976143d55f98,Basic,cartao_bloqueio,credito,resolved_by_ai,104,8
conv-20260607-000029,2026-06-08T05:03:44.309Z,sess-061aa126ab974255,phone,891df1220824833a,VIP,cartao_desbloqueio,investimentos,customer_hangup,126,10
conv-20260610-000030,2026-06-10T19:51:59.309Z,sess-0d1a21649ccdfab2,phone,94cb456a1b97cc76,Basic,seguros,credito,customer_hangup,50,5
conv-20260614-000031,2026-06-15T02:41:15.309Z,sess-0ef8cd19b94788fd,phone,30215a65dbe32e71,Basic,investimentos,investimentos,transferred_to_agent,84,8
conv-20260629-000032,2026-06-29T23:05:18.309Z,sess-12f2415ead26c986,phone,2367ddb2bbf15b9e,Standard,transferencia_pix,investimentos,resolved_by_ai,100,9
conv-20260609-000033,2026-06-10T00:23:07.309Z,sess-e71037eaa74be561,phone,a63e52f3d6d4b9e6,Standard,previdencia,seguros,resolved_by_ai,60,4
conv-20260618-000034,2026-06-19T00:21:04.309Z,sess-bd7429520a8b69df,phone,fb4bb32b8e01480b,VIP,saque_exterior,investimentos,resolved_by_ai,129,10
conv-20260612-000035,2026-06-13T04:36:37.309Z,sess-84b7964b85ee0ba0,whatsapp,4a003d5a0634dcfc,Premium,transferencia_ted,atendimento_principal,customer_hangup,125,10
conv-20260611-000036,2026-06-12T00:01:08.309Z,sess-27c7ce354cc597aa,whatsapp,9122e7dc52b15273,Premium,transferencia_pix,investimentos,resolved_by_ai,99,10
conv-20260614-000037,2026-06-14T22:59:28.309Z,sess-107060b6e6543e88,whatsapp,ddceadb4e6966391,Premium,cartao_desbloqueio,seguros,customer_hangup,83,7
conv-20260621-000038,2026-06-21T19:39:08.309Z,sess-4255904a83dafd27,phone,fa6f6a7d3e8bcf9a,Premium,resgate,seguros,transferred_to_agent,113,10
conv-20260609-000039,2026-06-10T03:06:44.309Z,sess-42763f0105929e96,phone,5262f7b06f9341c0,Premium,fatura,atendimento_principal,resolved_by_ai,50,4
conv-20260613-000040,2026-06-14T00:54:09.309Z,sess-2c1ae0c4f15425ba,phone,80245f216c19d898,Basic,fatura,atendimento_principal,customer_hangup,41,3
conv-20260619-000041,2026-06-19T18:57:18.309Z,sess-64d117d31154d474,phone,425447028117effd,Basic,sinistro,seguros,resolved_by_ai,37,2
conv-20260623-000042,2026-06-24T00:42:30.309Z,sess-080fe2b8f9997753,phone,cfbe7b5569c51245,Premium,previdencia,seguros,resolved_by_ai,93,8
conv-20260625-000043,2026-06-26T02:44:03.309Z,sess-938567ec89b72c0a,whatsapp,251da11675c77b07,VIP,extrato,seguros,resolved_by_ai,100,10
