conversationId,timestamp,score,scale,comment,collectedVia
conv-20260622-000001,2026-06-22T21:33:06.309Z,5,1-5,Excelente atendimento!,sms
conv-20260614-000005,2026-06-14T23:52:55.309Z,4,1-5,"Muito bom, rápido.",post_call_ivr
conv-20260615-000006,2026-06-16T03:26:37.309Z,3,1-5,"Atendeu, mas poderia ser melhor.",sms
conv-20260607-000009,2026-06-07T23:06:12.309Z,3,1-5,,email
conv-20260604-000010,2026-06-04T19:37:08.309Z,2,1-5,Demorado.,sms
conv-20260617-000011,2026-06-17T18:53:27.309Z,4,1-5,"Muito bom, rápido.",email
conv-20260629-000014,2026-06-30T06:43:45.309Z,5,1-5,Excelente atendimento!,sms
conv-20260618-000018,2026-06-18T21:26:26.309Z,5,1-5,,post_call_ivr
conv-20260624-000021,2026-06-24T21:50:52.309Z,3,1-5,"Atendeu, mas poderia ser melhor.",email
conv-20260607-000022,2026-06-08T03:07:02.309Z,5,1-5,Excelente atendimento!,email
conv-20260609-000023,2026-06-10T03:29:23.309Z,1,1-5,Não resolveu meu problema.,sms
conv-20260629-000024,2026-06-30T03:20:41.309Z,4,1-5,"Muito bom, rápido.",email
conv-20260626-000026,2026-06-27T04:59:55.309Z,5,1-5,Excelente atendimento!,sms
conv-20260625-000027,2026-06-25T18:54:40.309Z,4,1-5,"Muito bom, rápido.",email
conv-20260623-000028,2026-06-23T19:09:50.309Z,4,1-5,"Muito bom, rápido.",email
conv-20260607-000029,2026-06-08T05:27:50.309Z,4,1-5,"Muito bom, rápido.",sms
conv-20260629-000032,2026-06-29T23:14:58.309Z,4,1-5,"Muito bom, rápido.",sms
conv-20260611-000036,2026-06-12T00:08:47.309Z,5,1-5,,post_call_ivr
conv-20260621-000038,2026-06-21T20:01:01.309Z,5,1-5,Excelente atendimento!,sms
conv-20260609-000039,2026-06-10T03:27:34.309Z,5,1-5,,post_call_ivr
conv-20260613-000040,2026-06-14T01:09:50.309Z,5,1-5,Excelente atendimento!,sms
conv-20260619-000041,2026-06-19T19:10:55.309Z,4,1-5,"Muito bom, rápido.",sms
conv-20260623-000042,2026-06-24T01:09:03.309Z,5,1-5,Excelente atendimento!,email
conv-20260618-000046,2026-06-18T21:59:30.309Z,2,1-5,,post_call_ivr
conv-20260602-000048,2026-06-03T01:59:19.309Z,4,1-5,"Muito bom, rápido.",post_call_ivr
conv-20260603-000049,2026-06-04T04:36:42.309Z,4,1-5,,email
conv-20260613-000051,2026-06-13T19:23:30.309Z,2,1-5,Demorado.,sms
conv-20260630-000052,2026-07-01T04:19:35.309Z,2,1-5,,post_call_ivr
conv-20260625-000053,2026-06-26T06:44:39.309Z,4,1-5,,post_call_ivr
conv-20260607-000055,2026-06-08T07:01:08.309Z,1,1-5,,post_call_ivr
conv-20260627-000056,2026-06-28T02:08:39.309Z,5,1-5,Excelente atendimento!,email
conv-20260617-000057,2026-06-17T21:32:33.309Z,2,1-5,Demorado.,post_call_ivr
conv-20260615-000063,2026-06-16T06:05:35.309Z,4,1-5,,email
conv-20260605-000065,2026-06-05T22:11:07.309Z,2,1-5,,sms
conv-20260610-000066,2026-06-10T20:25:40.309Z,4,1-5,"Muito bom, rápido.",email
conv-20260616-000067,2026-06-16T20:29:05.309Z,5,1-5,Excelente atendimento!,email
conv-20260630-000068,2026-06-30T19:22:44.309Z,4,1-5,,sms
conv-20260630-000069,2026-07-01T02:35:37.309Z,5,1-5,Excelente atendimento!,post_call_ivr
conv-20260623-000070,2026-06-24T02:51:56.309Z,4,1-5,"Muito bom, rápido.",email
conv-20260629-000071,2026-06-30T03:29:00.309Z,3,1-5,,email
conv-20260612-000072,2026-06-12T22:01:00.309Z,1,1-5,,post_call_ivr
conv-20260614-000075,2026-06-14T22:23:27.309Z,4,1-5,"Muito bom, rápido.",email
conv-20260630-000076,2026-06-30T20:15:41.309Z,5,1-5,,email
conv-20260612-000077,2026-06-13T06:39:24.309Z,5,1-5,Excelente atendimento!,post_call_ivr
conv-20260621-000079,2026-06-22T01:03:36.309Z,4,1-5,"Muito bom, rápido.",post_call_ivr
conv-20260629-000084,2026-06-30T04:30:46.309Z,4,1-5,"Muito bom, rápido.",email
conv-20260608-000085,2026-06-08T22:42:00.309Z,4,1-5,,sms
conv-20260623-000086,2026-06-23T18:09:35.309Z,4,1-5,"Muito bom, rápido.",sms
conv-20260610-000089,2026-06-11T01:04:05.309Z,5,1-5,Excelente atendimento!,email
conv-20260615-000092,2026-06-15T21:04:15.309Z,3,1-5,,post_call_ivr
conv-20260609-000094,2026-06-09T22:35:37.309Z,3,1-5,,post_call_ivr
conv-20260618-000095,2026-06-19T00:09:19.309Z,3,1-5,,sms
conv-20260606-000096,2026-06-06T23:36:24.309Z,2,1-5,,sms
conv-20260611-000098,2026-06-11T19:27:41.309Z,2,1-5,Demorado.,email
conv-20260612-000100,2026-06-12T21:25:06.309Z,5,1-5,Excelente atendimento!,email
conv-20260627-000101,2026-06-27T23:14:28.309Z,4,1-5,"Muito bom, rápido.",email
conv-20260612-000102,2026-06-12T21:23:06.309Z,3,1-5,"Atendeu, mas poderia ser melhor.",post_call_ivr
conv-20260618-000103,2026-06-19T06:27:44.309Z,4,1-5,"Muito bom, rápido.",post_call_ivr
conv-20260606-000104,2026-06-07T06:23:13.309Z,5,1-5,Excelente atendimento!,post_call_ivr
conv-20260602-000105,2026-06-02T22:01:39.309Z,5,1-5,,sms
conv-20260603-000107,2026-06-03T22:03:59.309Z,4,1-5,"Muito bom, rápido.",sms
conv-20260607-000108,2026-06-07T22:29:38.309Z,3,1-5,"Atendeu, mas poderia ser melhor.",post_call_ivr
conv-20260626-000109,2026-06-26T20:14:46.309Z,5,1-5,,email
conv-20260620-000111,2026-06-21T01:39:43.309Z,1,1-5,,email
conv-20260626-000112,2026-06-27T05:06:19.309Z,5,1-5,Excelente atendimento!,sms
conv-20260608-000113,2026-06-08T19:16:17.309Z,5,1-5,Excelente atendimento!,post_call_ivr
conv-20260623-000114,2026-06-24T05:44:49.309Z,4,1-5,,post_call_ivr
conv-20260606-000115,2026-06-06T22:26:18.309Z,3,1-5,"Atendeu, mas poderia ser melhor.",email
conv-20260618-000116,2026-06-19T04:55:53.309Z,2,1-5,Demorado.,sms
conv-20260621-000117,2026-06-22T05:39:55.309Z,5,1-5,Excelente atendimento!,email
conv-20260606-000118,2026-06-06T21:21:22.309Z,4,1-5,"Muito bom, rápido.",post_call_ivr
conv-20260611-000119,2026-06-12T03:02:36.309Z,5,1-5,Excelente atendimento!,post_call_ivr
conv-20260630-000120,2026-07-01T02:28:32.309Z,5,1-5,Excelente atendimento!,email
conv-20260618-000121,2026-06-18T18:32:15.309Z,4,1-5,"Muito bom, rápido.",email
conv-20260605-000123,2026-06-06T01:08:03.309Z,5,1-5,,post_call_ivr
conv-20260605-000125,2026-06-06T01:49:21.309Z,5,1-5,,sms
conv-20260608-000127,2026-06-08T23:17:57.309Z,2,1-5,Demorado.,email
conv-20260611-000128,2026-06-11T22:58:52.309Z,4,1-5,,sms
conv-20260618-000129,2026-06-19T00:02:15.309Z,5,1-5,Excelente atendimento!,sms
conv-20260622-000130,2026-06-22T21:16:15.309Z,5,1-5,Excelente atendimento!,email
conv-20260615-000131,2026-06-15T20:44:02.309Z,4,1-5,,post_call_ivr
conv-20260622-000133,2026-06-23T03:35:32.309Z,3,1-5,,sms
conv-20260622-000135,2026-06-23T04:31:14.309Z,1,1-5,Não resolveu meu problema.,post_call_ivr
conv-20260627-000136,2026-06-28T03:58:46.309Z,5,1-5,Excelente atendimento!,sms
conv-20260626-000139,2026-06-26T22:04:48.309Z,5,1-5,Excelente atendimento!,sms
conv-20260613-000140,2026-06-13T20:25:38.309Z,5,1-5,Excelente atendimento!,email
conv-20260625-000142,2026-06-26T05:14:28.309Z,5,1-5,,post_call_ivr
conv-20260608-000144,2026-06-09T03:19:19.309Z,3,1-5,"Atendeu, mas poderia ser melhor.",sms
conv-20260609-000145,2026-06-10T00:29:24.309Z,3,1-5,"Atendeu, mas poderia ser melhor.",email
conv-20260629-000147,2026-06-29T23:43:39.309Z,4,1-5,,sms
conv-20260629-000148,2026-06-29T21:28:58.309Z,1,1-5,Não resolveu meu problema.,email
conv-20260618-000149,2026-06-18T20:09:44.309Z,5,1-5,Excelente atendimento!,sms
conv-20260604-000150,2026-06-05T05:21:04.309Z,4,1-5,,email
conv-20260630-000152,2026-07-01T00:46:32.309Z,5,1-5,Excelente atendimento!,sms
conv-20260628-000153,2026-06-29T04:54:55.309Z,3,1-5,"Atendeu, mas poderia ser melhor.",email
conv-20260607-000154,2026-06-07T23:20:05.309Z,3,1-5,"Atendeu, mas poderia ser melhor.",sms
conv-20260620-000157,2026-06-21T03:58:19.309Z,4,1-5,"Muito bom, rápido.",sms
conv-20260617-000160,2026-06-18T05:47:02.309Z,4,1-5,"Muito bom, rápido.",email
conv-20260624-000161,2026-06-25T00:18:24.309Z,4,1-5,"Muito bom, rápido.",email
conv-20260630-000162,2026-07-01T04:54:40.309Z,2,1-5,Demorado.,post_call_ivr
conv-20260619-000163,2026-06-19T21:54:58.309Z,4,1-5,,email
conv-20260605-000165,2026-06-06T00:48:13.309Z,5,1-5,,email
conv-20260621-000166,2026-06-21T21:51:53.309Z,2,1-5,,email
conv-20260616-000167,2026-06-17T01:30:10.309Z,4,1-5,"Muito bom, rápido.",sms
conv-20260620-000169,2026-06-21T03:07:17.309Z,5,1-5,,sms
conv-20260610-000170,2026-06-11T06:44:42.309Z,4,1-5,,email
conv-20260629-000171,2026-06-29T23:26:26.309Z,4,1-5,"Muito bom, rápido.",sms
conv-20260701-000173,2026-07-02T05:59:51.309Z,2,1-5,,post_call_ivr
conv-20260624-000174,2026-06-25T00:19:21.309Z,3,1-5,"Atendeu, mas poderia ser melhor.",sms
conv-20260616-000176,2026-06-17T05:45:13.309Z,5,1-5,Excelente atendimento!,email
conv-20260624-000177,2026-06-24T21:46:14.309Z,4,1-5,,sms
conv-20260629-000178,2026-06-29T19:50:31.309Z,5,1-5,Excelente atendimento!,email
conv-20260629-000179,2026-06-30T07:01:42.309Z,5,1-5,Excelente atendimento!,email
conv-20260623-000181,2026-06-23T22:42:00.309Z,3,1-5,"Atendeu, mas poderia ser melhor.",email
conv-20260626-000182,2026-06-26T20:42:42.309Z,1,1-5,Não resolveu meu problema.,email
conv-20260612-000183,2026-06-13T03:00:37.309Z,3,1-5,,post_call_ivr
conv-20260603-000184,2026-06-04T06:08:05.309Z,1,1-5,Não resolveu meu problema.,email
conv-20260630-000185,2026-07-01T01:59:21.309Z,5,1-5,Excelente atendimento!,email
conv-20260627-000187,2026-06-27T20:26:54.309Z,5,1-5,,email
conv-20260614-000188,2026-06-15T01:49:33.309Z,4,1-5,"Muito bom, rápido.",email
conv-20260621-000189,2026-06-22T06:09:24.309Z,4,1-5,"Muito bom, rápido.",post_call_ivr
conv-20260607-000190,2026-06-07T19:55:15.309Z,5,1-5,Excelente atendimento!,post_call_ivr
conv-20260604-000192,2026-06-04T20:02:09.309Z,5,1-5,,post_call_ivr
conv-20260627-000193,2026-06-27T19:45:21.309Z,5,1-5,Excelente atendimento!,email
conv-20260701-000197,2026-07-02T03:20:50.309Z,2,1-5,Demorado.,sms
conv-20260612-000198,2026-06-13T04:51:25.309Z,5,1-5,Excelente atendimento!,email
conv-20260619-000199,2026-06-19T21:26:49.309Z,3,1-5,"Atendeu, mas poderia ser melhor.",post_call_ivr
conv-20260607-000200,2026-06-07T18:31:25.309Z,5,1-5,Excelente atendimento!,email
