dataKey,data,ano,mes,nome_mes,dia,dia_semana,nome_dia_semana,semana_ano,fim_de_semana
20260531,2026-05-31,2026,5,Mai,31,7,Domingo,21,1
20260601,2026-06-01,2026,6,Jun,1,1,Segunda,22,0
20260602,2026-06-02,2026,6,Jun,2,2,Terça,22,0
20260603,2026-06-03,2026,6,Jun,3,3,Quarta,22,0
20260604,2026-06-04,2026,6,Jun,4,4,Quinta,22,0
20260605,2026-06-05,2026,6,Jun,5,5,Sexta,22,0
20260606,2026-06-06,2026,6,Jun,6,6,Sábado,22,1
20260607,2026-06-07,2026,6,Jun,7,7,Domingo,22,1
20260608,2026-06-08,2026,6,Jun,8,1,Segunda,23,0
20260609,2026-06-09,2026,6,Jun,9,2,Terça,23,0
20260610,2026-06-10,2026,6,Jun,10,3,Quarta,23,0
20260611,2026-06-11,2026,6,Jun,11,4,Quinta,23,0
20260612,2026-06-12,2026,6,Jun,12,5,Sexta,23,0
20260613,2026-06-13,2026,6,Jun,13,6,Sábado,23,1
20260614,2026-06-14,2026,6,Jun,14,7,Domingo,23,1
20260615,2026-06-15,2026,6,Jun,15,1,Segunda,24,0
20260616,2026-06-16,2026,6,Jun,16,2,Terça,24,0
20260617,2026-06-17,2026,6,Jun,17,3,Quarta,24,0
20260618,2026-06-18,2026,6,Jun,18,4,Quinta,24,0
20260619,2026-06-19,2026,6,Jun,19,5,Sexta,24,0
20260620,2026-06-20,2026,6,Jun,20,6,Sábado,24,1
20260621,2026-06-21,2026,6,Jun,21,7,Domingo,24,1
20260622,2026-06-22,2026,6,Jun,22,1,Segunda,25,0
20260623,2026-06-23,2026,6,Jun,23,2,Terça,25,0
20260624,2026-06-24,2026,6,Jun,24,3,Quarta,25,0
20260625,2026-06-25,2026,6,Jun,25,4,Quinta,25,0
20260626,2026-06-26,2026,6,Jun,26,5,Sexta,25,0
20260627,2026-06-27,2026,6,Jun,27,6,Sábado,25,1
20260628,2026-06-28,2026,6,Jun,28,7,Domingo,25,1
20260629,2026-06-29,2026,6,Jun,29,1,Segunda,26,0
20260630,2026-06-30,2026,6,Jun,30,2,Terça,26,0
