conversationId,timestamp,eventName,eventCategory,turnIndex
conv-20260622-000001,2026-06-22T21:03:43.309Z,knowledge_gap,error,7
conv-20260622-000001,2026-06-22T21:04:06.309Z,conversation_ended,completion,
conv-20260607-000002,2026-06-08T03:24:19.309Z,conversation_ended,completion,
conv-20260628-000003,2026-06-29T04:26:12.309Z,conversation_ended,completion,
conv-20260614-000004,2026-06-15T02:58:25.309Z,conversation_ended,completion,
conv-20260614-000005,2026-06-14T23:35:47.309Z,knowledge_gap,error,2
conv-20260614-000005,2026-06-14T23:35:55.309Z,conversation_ended,completion,
conv-20260615-000006,2026-06-16T03:14:37.309Z,conversation_ended,completion,
conv-20260617-000007,2026-06-17T21:12:05.309Z,conversation_ended,completion,
conv-20260606-000008,2026-06-06T23:08:52.309Z,conversation_ended,completion,
conv-20260607-000009,2026-06-07T22:52:05.309Z,agent_requested,handoff,4
conv-20260607-000009,2026-06-07T22:52:12.309Z,conversation_ended,completion,
conv-20260604-000010,2026-06-04T19:29:08.309Z,conversation_ended,completion,
conv-20260617-000011,2026-06-17T18:24:27.309Z,conversation_ended,completion,
conv-20260624-000012,2026-06-24T18:04:11.309Z,conversation_ended,completion,
conv-20260621-000013,2026-06-22T04:35:48.309Z,conversation_ended,completion,
conv-20260629-000014,2026-06-30T06:20:24.309Z,no_comprehension,error,4
conv-20260629-000014,2026-06-30T06:20:45.309Z,conversation_ended,completion,
conv-20260603-000015,2026-06-04T01:50:06.309Z,agent_requested,handoff,8
conv-20260603-000015,2026-06-04T01:50:25.309Z,conversation_ended,completion,
conv-20260621-000016,2026-06-22T06:34:37.309Z,conversation_ended,completion,
conv-20260612-000017,2026-06-13T04:15:14.309Z,conversation_ended,completion,
conv-20260618-000018,2026-06-18T21:16:26.309Z,conversation_ended,completion,
conv-20260628-000019,2026-06-28T23:54:27.309Z,conversation_ended,completion,
conv-20260616-000020,2026-06-16T18:16:41.309Z,conversation_ended,completion,
conv-20260624-000021,2026-06-24T21:44:52.309Z,conversation_ended,completion,
conv-20260607-000022,2026-06-08T02:52:02.309Z,conversation_ended,completion,
conv-20260609-000023,2026-06-10T03:21:23.309Z,conversation_ended,completion,
conv-20260629-000024,2026-06-30T03:09:41.309Z,conversation_ended,completion,
conv-20260613-000025,2026-06-13T23:44:03.309Z,knowledge_gap,error,2
conv-20260613-000025,2026-06-13T23:44:12.309Z,agent_requested,handoff,2
conv-20260613-000025,2026-06-13T23:44:22.309Z,conversation_ended,completion,
conv-20260626-000026,2026-06-27T04:30:35.309Z,agent_requested,handoff,2
conv-20260626-000026,2026-06-27T04:30:55.309Z,conversation_ended,completion,
conv-20260625-000027,2026-06-25T18:36:40.309Z,conversation_ended,completion,
conv-20260623-000028,2026-06-23T18:42:50.309Z,conversation_ended,completion,
conv-20260607-000029,2026-06-08T05:05:50.309Z,conversation_ended,completion,
conv-20260610-000030,2026-06-10T19:52:49.309Z,conversation_ended,completion,
conv-20260614-000031,2026-06-15T02:42:22.309Z,knowledge_gap,error,4
conv-20260614-000031,2026-06-15T02:42:39.309Z,conversation_ended,completion,
conv-20260629-000032,2026-06-29T23:06:58.309Z,conversation_ended,completion,
conv-20260609-000033,2026-06-10T00:24:07.309Z,conversation_ended,completion,
conv-20260618-000034,2026-06-19T00:22:45.309Z,agent_requested,handoff,8
conv-20260618-000034,2026-06-19T00:23:13.309Z,conversation_ended,completion,
conv-20260612-000035,2026-06-13T04:38:42.309Z,conversation_ended,completion,
conv-20260611-000036,2026-06-12T00:02:47.309Z,conversation_ended,completion,
conv-20260614-000037,2026-06-14T23:00:38.309Z,no_comprehension,error,5
conv-20260614-000037,2026-06-14T23:00:51.309Z,conversation_ended,completion,
conv-20260621-000038,2026-06-21T19:40:50.309Z,knowledge_gap,error,4
conv-20260621-000038,2026-06-21T19:41:01.309Z,conversation_ended,completion,
conv-20260609-000039,2026-06-10T03:07:34.309Z,conversation_ended,completion,
conv-20260613-000040,2026-06-14T00:54:32.309Z,knowledge_gap,error,3
conv-20260613-000040,2026-06-14T00:54:50.309Z,conversation_ended,completion,
conv-20260619-000041,2026-06-19T18:57:55.309Z,conversation_ended,completion,
conv-20260623-000042,2026-06-24T00:44:03.309Z,conversation_ended,completion,
conv-20260625-000043,2026-06-26T02:45:43.309Z,conversation_ended,completion,
conv-20260609-000044,2026-06-09T22:48:46.309Z,conversation_ended,completion,
conv-20260612-000045,2026-06-12T23:50:57.309Z,conversation_ended,completion,
conv-20260618-000046,2026-06-18T21:33:30.309Z,conversation_ended,completion,
conv-20260617-000047,2026-06-17T18:00:06.309Z,conversation_ended,completion,
conv-20260602-000048,2026-06-03T01:54:19.309Z,conversation_ended,completion,
conv-20260603-000049,2026-06-04T04:11:15.309Z,knowledge_gap,error,2
conv-20260603-000049,2026-06-04T04:11:42.309Z,conversation_ended,completion,
conv-20260627-000050,2026-06-27T21:07:06.309Z,conversation_ended,completion,
conv-20260613-000051,2026-06-13T19:14:30.309Z,conversation_ended,completion,
conv-20260630-000052,2026-07-01T03:56:35.309Z,conversation_ended,completion,
conv-20260625-000053,2026-06-26T06:26:20.309Z,agent_requested,handoff,2
conv-20260625-000053,2026-06-26T06:26:39.309Z,conversation_ended,completion,
conv-20260621-000054,2026-06-22T03:32:13.309Z,conversation_ended,completion,
conv-20260607-000055,2026-06-08T06:31:08.309Z,conversation_ended,completion,
conv-20260627-000056,2026-06-28T01:55:39.309Z,conversation_ended,completion,
conv-20260617-000057,2026-06-17T21:22:33.309Z,conversation_ended,completion,
conv-20260623-000058,2026-06-23T20:20:38.309Z,conversation_ended,completion,
conv-20260611-000059,2026-06-11T20:59:37.309Z,conversation_ended,completion,
conv-20260602-000060,2026-06-02T20:18:42.309Z,conversation_ended,completion,
conv-20260630-000061,2026-06-30T21:15:38.309Z,conversation_ended,completion,
conv-20260619-000062,2026-06-20T04:07:02.309Z,conversation_ended,completion,
conv-20260615-000063,2026-06-16T05:36:35.309Z,conversation_ended,completion,
conv-20260619-000064,2026-06-20T03:42:00.309Z,conversation_ended,completion,
conv-20260605-000065,2026-06-05T21:43:07.309Z,conversation_ended,completion,
conv-20260610-000066,2026-06-10T19:56:40.309Z,conversation_ended,completion,
conv-20260616-000067,2026-06-16T20:23:05.309Z,conversation_ended,completion,
conv-20260630-000068,2026-06-30T19:13:44.309Z,conversation_ended,completion,
conv-20260630-000069,2026-07-01T02:14:37.309Z,conversation_ended,completion,
conv-20260623-000070,2026-06-24T02:44:29.309Z,knowledge_gap,error,4
conv-20260623-000070,2026-06-24T02:44:56.309Z,conversation_ended,completion,
conv-20260629-000071,2026-06-30T03:03:00.309Z,conversation_ended,completion,
conv-20260612-000072,2026-06-12T21:47:00.309Z,conversation_ended,completion,
conv-20260602-000073,2026-06-03T04:22:36.309Z,conversation_ended,completion,
conv-20260623-000074,2026-06-24T06:40:25.309Z,conversation_ended,completion,
conv-20260614-000075,2026-06-14T22:06:27.309Z,conversation_ended,completion,
conv-20260630-000076,2026-06-30T19:51:18.309Z,no_comprehension,error,3
conv-20260630-000076,2026-06-30T19:51:41.309Z,conversation_ended,completion,
conv-20260612-000077,2026-06-13T06:09:24.309Z,conversation_ended,completion,
conv-20260630-000078,2026-06-30T21:42:29.309Z,conversation_ended,completion,
conv-20260621-000079,2026-06-22T00:50:36.309Z,conversation_ended,completion,
conv-20260604-000080,2026-06-05T02:48:45.309Z,no_comprehension,error,9
conv-20260604-000080,2026-06-05T02:48:54.309Z,conversation_ended,completion,
conv-20260611-000081,2026-06-12T05:53:33.309Z,conversation_ended,completion,
conv-20260613-000082,2026-06-13T23:15:07.309Z,conversation_ended,completion,
conv-20260624-000083,2026-06-24T18:04:11.309Z,conversation_ended,completion,
conv-20260629-000084,2026-06-30T04:01:20.309Z,agent_requested,handoff,5
conv-20260629-000084,2026-06-30T04:01:46.309Z,conversation_ended,completion,
conv-20260608-000085,2026-06-08T22:29:00.309Z,conversation_ended,completion,
conv-20260623-000086,2026-06-23T17:56:35.309Z,conversation_ended,completion,
conv-20260607-000087,2026-06-08T01:09:17.309Z,conversation_ended,completion,
conv-20260627-000088,2026-06-28T02:19:48.309Z,conversation_ended,completion,
conv-20260610-000089,2026-06-11T00:49:05.309Z,conversation_ended,completion,
conv-20260625-000090,2026-06-26T03:49:02.309Z,conversation_ended,completion,
conv-20260611-000091,2026-06-12T05:47:31.309Z,conversation_ended,completion,
conv-20260615-000092,2026-06-15T20:37:15.309Z,conversation_ended,completion,
conv-20260607-000093,2026-06-08T06:21:20.309Z,knowledge_gap,error,4
conv-20260607-000093,2026-06-08T06:21:28.309Z,conversation_ended,completion,
conv-20260609-000094,2026-06-09T22:18:37.309Z,conversation_ended,completion,
conv-20260618-000095,2026-06-18T23:43:19.309Z,conversation_ended,completion,
conv-20260606-000096,2026-06-06T23:29:07.309Z,agent_requested,handoff,8
conv-20260606-000096,2026-06-06T23:29:24.309Z,conversation_ended,completion,
conv-20260622-000097,2026-06-22T19:08:03.309Z,conversation_ended,completion,
conv-20260611-000098,2026-06-11T19:21:28.309Z,agent_requested,handoff,8
conv-20260611-000098,2026-06-11T19:21:41.309Z,conversation_ended,completion,
conv-20260701-000099,2026-07-02T00:07:04.309Z,conversation_ended,completion,
conv-20260612-000100,2026-06-12T21:01:06.309Z,conversation_ended,completion,
conv-20260627-000101,2026-06-27T22:55:12.309Z,no_comprehension,error,6
conv-20260627-000101,2026-06-27T22:55:28.309Z,conversation_ended,completion,
conv-20260612-000102,2026-06-12T21:11:06.309Z,conversation_ended,completion,
